Postal Code,Borough,Neighborhood,Latitude,Longitude
173,Villaverde,Butarque,40.33873872757069,-3.674741325454466
174,Villaverde,Los Rosales,40.355735822564355,-3.688130153827992
175,Villaverde,Los Angeles,40.355977854406476,-3.698377890596088
181,Villa de Vallecas,Casco Historico de Vallecas,40.35110066841963,-3.617930509512837
182,Villa de Vallecas,Santa Eugenia,40.38342325971181,-3.611469342964104
183,Villa de Vallecas,Ensanche de Vallecas,40.366451920695646,-3.6019390672731464
191,Vicalvaro,Casco Historico de Vicalvaro,40.3918824348264,-3.578902316268467
192,Vicalvaro,Valdebernardo,40.39622520296681,-3.616933358300827
193,Vicalvaro,Valderrivas,40.3966318085446,-3.606277087350324
194,Vicalvaro,El Canaveral,40.40137926304321,-3.5524743815780275
201,San Blas-Canillejas,Simancas,40.43585737295256,-3.625256763674427
202,San Blas-Canillejas,Hellin,40.4311922045857,-3.616746273707735
203,San Blas-Canillejas,Amposta,40.426236230442335,-3.622201140908269
204,San Blas-Canillejas,Arcos,40.42082146932229,-3.6182876355348776
205,San Blas-Canillejas,Rosas,40.426686441300596,-3.593737234178717
206,San Blas-Canillejas,Rejas,40.445273259126296,-3.5704355877318696
207,San Blas-Canillejas,Canillejas,40.44292633964777,-3.6103105781149143
208,San Blas-Canillejas,Salvador,40.443781188694366,-3.6340382429299796
211,Barajas,Alameda de Osuna,40.45663584825671,-3.590373001386217
212,Barajas,Aeropuerto,40.4983484963059,-3.567780592902738
213,Barajas,Casco Historico de Barajas,40.474304924580274,-3.578636315664002
214,Barajas,Timon,40.47629534768527,-3.5922656669996895
215,Barajas,Corralejos,40.46371476322232,-3.6102597935137424
